id;usuario_1;usuario_2;fecha_de_conversacion
1;mint green Director system;Buckinghamshire;2019-12-15
2;Metal Auto Loan Account;Awesome;2019-12-14
3;Applications;Montenegro;2019-12-15
4;bleeding-edge Rubber;Yemen;2019-12-15
5;Trinidad and Tobago Dollar;Customer-focused;2019-12-14
6;hack;Mall Investment Account;2019-12-14
7;Unbranded transmitting;Administrator Frozen matrix;2019-12-14
8;Shirt;Mobility;2019-12-14
9;Refined Soft Keyboard synthesizing;indigo Bacon Mouse;2019-12-14
10;payment;National structure;2019-12-14
