id;nombre;descripcion;fecha_creacion;fecha_conclucion;sprint;is_epic
1;SCSI Aruba Chair;drive online;2019-12-14;2019-12-14;engage;true
2;redefine transmitting;bypassing Bypass;2019-12-14;2019-12-15;Movies;false
3;New Taiwan Dollar Zimbabwe parse;Monaco input Accounts;2019-12-14;2019-12-14;Multi-channelled;false
4;User-friendly;Savings Account;2019-12-15;2019-12-14;calculate Fantastic Concrete Computer Baby;false
5;Springs connecting;SAS;2019-12-14;2019-12-14;Refined redundant;true
6;Burg;transmit Credit Card Account;2019-12-14;2019-12-14;Corporate;true
7;Director;New York mesh;2019-12-14;2019-12-15;array Luxembourg Spurs;true
8;middleware Switzerland;Data Granite Configuration;2019-12-14;2019-12-14;Practical Steel Chips;true
9;frictionless orchid;Future-proofed Awesome;2019-12-15;2019-12-14;Delaware;false
10;Pakistan Rupee;Chicken;2019-12-14;2019-12-14;RSS Buckinghamshire Officer;true
