id;mensaje;fecha_emision;estado_mensaje
1;Tanzanian Shilling Lights;e-enable Plaza intranet;LEIDO
2;synthesize Bahrain;Pre-emptive Bouvet Island (Bouvetoya) experiences;LEIDO
3;Belize Dollar Bacon;Investment Account Rwanda Customer;LEIDO
4;hack Electronics Oklahoma;Cambridgeshire navigate Licensed;NO_LEIDO
5;Investment Account;haptic Shoes;NO_LEIDO
6;driver payment Mexican Peso Mexican Unidad de Inversion (UDI);port Money Market Account;LEIDO
7;vortals value-added;Salad Connecticut;NO_LEIDO
8;HDD Security Virginia;solid state Clothing deposit;LEIDO
9;Unbranded programming District;Concrete;LEIDO
10;FTP;Persistent Investment Account;NO_LEIDO
