id;origen;destino;tipo;fecha_emision;estado_mensaje
1;Money Market Account;synergize;JSON National;2019-12-14;LEIDO
2;Assimilated Unions;Devolved;Avon web-readiness;2019-12-14;NO_LEIDO
3;modular red;payment;Strategist;2019-12-14;NO_LEIDO
4;Awesome Officer Bedfordshire;application scale;indigo National;2019-12-15;LEIDO
5;generating Arkansas;synthesize;Macedonia Japan;2019-12-14;LEIDO
6;Pants;Tasty navigate didactic;payment schemas Industrial;2019-12-15;NO_LEIDO
7;Enterprise-wide;Moldovan Leu;Checking Account;2019-12-14;NO_LEIDO
8;Licensed Visionary pixel;neural Markets Branding;maroon;2019-12-15;NO_LEIDO
9;deposit;fuchsia Music Salad;withdrawal circuit;2019-12-14;LEIDO
10;Alaska solution-oriented;best-of-breed generate;applications context-sensitive;2019-12-14;LEIDO
