id;nombre;descripcion;tipo
1;infomediaries;Fantastic Fresh Salad;Steel Avon Visionary
2;exploit transition;User-centric Principal Pennsylvania;repurpose Sleek
3;mesh system Triple-buffered;Cotton;Advanced grow
4;Handmade Wooden Cheese Fresh;input Naira;Markets
5;Glen Refined;Mandatory Assistant;Strategist
6;Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial;Central African Republic
7;magenta heuristic;Credit Card Account Maryland Legacy;Product
8;Brand Regional Court;B2B Mouse;Junctions one-to-one
9;analyzing holistic;Architect;Beauty dynamic schemas
10;Pound Sterling Keyboard;Licensed Usability models;Personal Loan Account markets
