id;nombre;descripcion;fecha_creacion;fecha_conclucion;estado_tarea
1;Automated;Pants even-keeled Chair;2019-12-15;2019-12-14;IN_PROGRESS
2;cyan innovative;open architecture alliance;2019-12-15;2019-12-14;IN_PROGRESS
3;Sausages streamline Home;primary quantify Chips;2019-12-15;2019-12-14;COMPLETED
4;back-end Roads bypass;Concrete;2019-12-15;2019-12-14;COMPLETED
5;ADP;Hungary Configurable;2019-12-15;2019-12-14;IN_PROGRESS
6;blue internet solution Concrete;distributed Ranch impactful;2019-12-14;2019-12-14;COMPLETED
7;Pennsylvania Michigan;Cotton encompassing;2019-12-14;2019-12-14;DESIGN
8;Director Personal Loan Account;Music;2019-12-15;2019-12-15;IN_PROGRESS
9;Gorgeous;Car Internal Small;2019-12-14;2019-12-15;COMPLETED
10;incubate Agent TCP;Engineer Bedfordshire feed;2019-12-14;2019-12-14;DESIGN
